cgfa gcebad ebcadfg cefgbad
abcfg edca febdcg ecb
adefb aebfd aecbfg cedfa
fgdbcae dabfc aedcbf af
bafceg dagfc bacfdge fdgab
dbfcgea dgfbca dgbfc gabdec
gfedbc fbcedg beadfg acbdg
befgd dfcgeb dgabf gaefbd
dg gdbcea decfba agcdfe
fac ecba ebafg fac
cfaeg feacg fdacebg fcaeb
fdbec gdbcea bdefc dgbace
gdac dabef eabfgc agefbdc
gbf cefb fcgdba gbafce
fdeag cabged cgebfd fedcg
dgfec dacbfeg fgcde bc
gfeac gfdecab ebfcad dbgfac
cga aebc cadbeg ca
ebacg fcdgae cgbfaed aecfbgd
bcgea dc fecbdag cebda
afdebg cefda dc bdac
fgeadb efcba dbgfae gafdbce
dfcegba egf efg fg
dbefag aefgcb bg dbagf
fedcba acgebd df gcbfe
agfdce ab ab aecfd
fbecd degac af cadeg
cdafg ecfg caefd dcfae
efdcab dfeabc dgcea efbcga
dbcfg gafecb fcbeg dgefab
ecbdfga fc ecgba afecgb
edcgfa cafdeb bagde fbca
fgecb gbcfe fcb edfagc
aced afged fbeagd cd
bgfed fegabd bgfca gdfbce
gf dgfcab gbf fgbdac
decb fce ce afbce
dfgba cagdfe afbdg ecdbaf
dg cabfd dgf cgdbf
gd aecdgf ceadf fgaedc
cgdbef bdfag cadbgf dcag
cfged bfcge cfgeb ecfgb
debfca egdbf fcbade egdc
cdgebf gacfdeb efgda ga
befadg dfacgb cd eabfc
bd cgdb egfdab bd
gfeac eabfg fce fabegdc
gfe bfecdag fgbdc bcgedaf
afbgce bdcea fdacb afdbc
fegcdb fbecdg gdeabcf bafcd
dgaf af cgafe caedfb
fagebc gacbe da afecgb
adcbeg bdeaf fdaegb fcagb
fbga bedgf dbcegfa dgbfe
cfbead gfceda fadgecb dcbafe
afed dcgfae afc fac
gadbc dcgfab ce feabd
cdgeb dbecg dcgfbae dabcfe
gdcae bdgafe cagde eb
bga gab bag ecbad
fcg fedabg bfaec fegbc
cegab egbdfa fcbedga edcf
fdb fbcead fgbedc gafcb
abedc abd baced fgdbec
cbafd eagbdfc ecgafd dbacf
baedf fgbcda baegfc dabcfeg
begafdc dagfc acdfg dcbe
bagec ag egaf cdgefb
feg gbdfa agfdec gbdeaf
af dabgc gacf adf
gbef fcebda dgeab be
befcda dfcgb dfgae deagfb
fbdac ebfa beaf fedcagb
degfa efgad dgabc ce
aedc abdfc ca bfdga
dg dfbg egd adgbce
defcbag adcgf ga aegdbf
bfgcd bfdcae edfgb fe
ebfgdc gafbde gfbdce gfadcbe
faebgc defcba aegcbdf ebdcfg
gcaed adebc cadeb cbga
gacedf bfecdga fdbea edafgc
bgcaf cbgfa ag ag
bcdfge dagc cdga dcabf
efadc fgc acdg adcef
cd dabc faegcd dceabg
cedfab egdbc cbgde dcaef
defcb gecfb befcd dc
eabfdg feadgb egbfc fgbea
efg afdbec cfeda ecfag
efbad fdbg abefg gfdb
aebfc fcabegd edgbc fagcbde
efbgcd dgcbea baefd bedcfg
gbade cagbef gabecfd cdafeg
dcbfa agefc egdcba acefgdb
becagf deabgcf abfce cbdae
cgdbfae dcagb badgec agbfcd
efgabc gceafb bgcdf ad
gdeaf becagd egadf dabef
afbdc aedf af egbdac
cead gdcbea cgeadbf agcdbe
agfcb efgab bgefa fbcag
cfgaed ea abgfdce ae
aecgbf acdgfb fgedbc gfade
gb bg gedcf cbg
cdae gbcdafe dcf fbadc
gafbced dfab becaf ecfba
afc af gdbfc cgeab
cgdbf dfcbg ed gade
acg cga egbad adgbe
facbgd fgdeb ebdfg cfagbed
afd egdac fecdab befd
efagd efd feadg ebgda
ce aebdgc bdfcae fdgac
dceba adbg cdeagf dbace
afbgecd abcfdeg facbg agfcb
fegcdab eacbgd dgfbeac eacgdb
abfde gefabdc egb eadfb
fedagb gafcdbe dbgfa fcdgba
gcfadeb gec bagefc cabgef
afdbe acbfegd cdgfbe efadbcg
ebgadf fdabg afdgbc cabfged
ecgab deafgb gbeaf cgabe
cafebdg bd db bfd
cbadfe bgdea abdce ga
cfbeag cfg bacefg efbag
aegbdf bfadg gdeab dgfba
cfgaeb cdfeba acg dgcb
cg dfcgb gfdace edbgfca
begad dgcf fbgac bdega
dgebac dabgf dfbeg adfc
geafbd bdacfeg bgecf abg
adce cdea ceafg ecgfb
gbdfae fg eadcgb bafdg
acbgde cefdgb gecdfb cafdb
gcabfe gc cabfd gc
abcfdg dbf db efdbac
dcefa fdegc ceafd ac
gab cabgef ag gbedcf
fbgea fcgda ged gebfa
ebgdf af bfag adf
gfacdb afgeb feabdg gebfa
bd bagce edbfag ecdgba
dageb gebda ef eaf
bacgfed fcdeg bcefgad defgc
fcd decbf cbfdae dbca
cgab acdgeb cabg gbdae
dcgbae ce egbdacf gec
fdbga bged fadegbc gacdbef
degbca gabdc ecbgad gceb
fgdce adfbg fbeagc agfde
gecdaf dgb bg fdbgc
ebfdga gfcba cfde gbdfea
geabd cgabfe fcbage cbdefa
cgbda cfgea abgdc gdbfec
dbe fgbad aefgbd bgedfc
fdecgba dfc dfc cdf
fce ef edbgc cadbeg
fdcgeab ceafgb dfb efdbcg
ceabgd fgced eagfbc fbecg
dc fdc dc fcd
agfbc gbfac aegdcf egdabc
faedg afdecg gacedf fa
fda gadfce gdeafb bfegca
defga abedg eadfcgb bgdfac
aebfg dage ag ag
fegc edfbg gdf gf
gecbfd gbfa gebfc gdfeac
agefdb afdcebg dcfeag fda
bdecfag aefcg dbgcfe ebagcfd
feacd efacd eg beagcfd
bcafe abefcdg cdabef efbac
gacfe acbefg bcfdage eac
afdcgb eadfcb fgcbad adbfec
fgcdea aefd gebcad acfeg
fb eabfdg ecgafd fab
abdcfge bedgf cgfde fagedb
bcfae efdbagc bcfde fegacdb
decg cfdega acbdefg dbeacf
agfedc dec abdcfe fabdgce
dbcegf bgafc dc dgeab
faecbg gb fabced beadfc
fgcbe ed dfaceg cdgefa
fcab edfag ab bgcdef
cbdegf ga gead egfbad
faedg dbcafg eadgbf agbfdc
fgcaed efgbac fbeagd dfe
fad abgde gfaed aegdf
gdefab abcdf dcfabe bdf
gb fgdea gbd bdacf
gcdeb cbd bfgd egdfabc
fd df fbgeca dfb
dafcge acef afgdb bgdace
egbdc bgaefd agcedf agbec
egdfab decfg gf fg
gfdcab dabcgf bga cgeabd
bgef fdgecb be be
gba fgdeb feab fadebg
agbced cgba fabgdce fgaedc
gdefb fc egcad abecgd
